,date,id,content,username,like_count,retweet_count
0,2023-01-05 18:42:43+00:00,1611070708754382848,"  Asylum seekers are in refugee camps, those sitting in the hotels, are young, single, male, economic migrants, they have bypassed many safe countries, paid thousands to people smugglers, and got rid of their passport before arriving here.",simon4124,0,0
1,2023-01-05 17:50:16+00:00,1611057509107699712, Can't understand why some UK folks still think they're desperate refugees.  Full description: undocumented economic male adult migrants.,Karen61035495,8,2
2,2023-01-05 17:05:47+00:00,1611046313386180616," I’ve yet to see any refugees, just male economic migrants many with prison hair cuts and hand gestures to match!",CarolLovesTosh,3,1
3,2023-01-05 15:04:36+00:00,1611015814941138944," Military age male ""refugees"" ...",Zubi_Freeman,0,0
4,2023-01-05 14:03:47+00:00,1611000509728423936," Schools are not refugee centres and shouldn't be used as such.

Talking of lies......have you apologised to the male Carlow teachers yet?
Or apologised for liking your party colleagues homophobic tweet before Christmas?",kevinthebooks,7,1
5,2023-01-05 13:19:27+00:00,1610989353429340166," Please explain what's racist in a protest?
Please define a refugee",Gratsi4,6,0
6,2023-01-05 12:36:00+00:00,1610978421433159682," Sticking male refugees in a girls primary school id imagine was quite deliberate for maximum outrage....they are really trying to stoke the flames, anything to distract and bamboozle from the shitshow that they caused over the last few years",DickyDer,0,0
7,2023-01-05 12:33:52+00:00,1610977882414931969," Let’s not get caught up with terminology, but we have to agree that something strange is going on that we are housing so many single male refugees, we are all behind the Ukrainian refugees but something is rotten in Denmark.",Angryfeckerirl,0,0
8,2023-01-05 11:45:06+00:00,1610965610086961155," Male refugees that now have had access to childrens names on walls, with other sorts of information about them compromised.",gottalovetheby1,0,0
9,2023-01-05 10:59:30+00:00,1610954136370937856," applications by Turks climbed to a new all-time high in October (7 400), continuing the steep rises in recent months: 

Three in four applicants were male, acc. to Eurostat. Most apply in Germany

     ",F_Poeschel,0,0
10,2023-01-05 00:27:43+00:00,1610795139739303937," Whenever Tanjiro didn’t he couldn’t help but let out a few groans, holding onto the other male’a head tightly.",DIVINITYBULL,1,0
11,2023-01-04 23:59:52+00:00,1610788132777066497," ""male refugees""
Arrived from where? 
No clue, they tore up travel documents..
They could have left a string of rape victims across Europe for all we know
You NGOs are endangering Irish communities",TinkerSmeII,2,0
12,2023-01-04 23:32:19+00:00,1610781199584342018,    Kirby is an Alpha “MAGA Tears” Male who uses a got damnt John Deere MyPhone to watch his party fail repeatedly. Made in the US of A!,GasolineThe,0,0
13,2023-01-04 22:35:20+00:00,1610766859875262464," 23% of all Ukrainian refugees are male aged between 20 and 60.
Today, in town, a Ukrainian Porsche Cayenne was parked in the taxi rank and it's male driver was flat out on his phone. 2 X5s cruising around the place also, along with a Tesla Y model. But maybe my eyes lie?",pebblesmeller,0,0
14,2023-01-04 22:32:18+00:00,1610766097325883392,Why Google sucks: Google marginalizes refugees by normalizing male-gaze,COMA387Group2,0,0
15,2023-01-04 19:26:19+00:00,1610719293410365445,"Yesterday at around 10.50 am, a young male refugee from Sudan died after being hit by a train in Calais. 

His death speaks volumes about conditions in Calais: a ",Care4Calais,208,70
16,2023-01-04 19:13:49+00:00,1610716145828478988," Sure, the nose hooks, but it's also fucking tiny. That's just confirmation bias.

Of all the actual antisemitic attacks going on right now, why do they choose to make shit up?

I don't even like Vivzi, but she's a yaoi fangirl Tumblr refugee, not some secret Nazi.",RareMaleHarpy,2,0
17,2023-01-04 18:07:47+00:00,1610699529229160449," In Rome a man was beaten by young male uke refugees (shouldn't they join the UAF? but never mind), for lamenting that the gas price hike was due to .ua. The news appeared only locally and the title is misleading since it refers to another African refugees who came to the rescue. ",RossettiFabioFI,3,1
18,2023-01-04 17:36:40+00:00,1610691695880056832,"  It's nearly always MEN who ""pose a real danger to children"".  I don't care what their nationality is.  Irish men throwing shade at male refugees are very dodgy and probably need their hard drives checked.  You're fooling nobody.",TheConstantKnit,0,0
19,2023-01-04 17:17:57+00:00,1610686986972692481," This was clearly an agenda starting with the UNJUST Syrian War...and sending young male refugees to peaceful countries. I spent time in Syria in 1998 and was pleased to meet so many kind people. That country was fully self-sufficient, a threat to nations who like war and division",AtheenaRomney,0,0
20,2023-01-04 17:12:59+00:00,1610685736654704645,Terrible to see misinformation being spread in our local community bringing unwanted media attention to an area with huge community spirit and generosity.  ‘Protest to be held at Dublin school over false claims male refugees are staying there’ ,CityPartnership,0,1
21,2023-01-04 17:08:48+00:00,1610684683649441793,"Why were 200 Ukranian refugees

REMOVED

 from this hotel to accommodate 
130 MALE ASYLUM SEEKERS?? ",GemmaHeaney1,55,19
